loop_bandwidth_limit	mean_goodput
250	232.08706941538614
500	448.19652580872054
750	659.8841329318802
1000	843.579655688798
1250	948.6050015746797
1500	942.9930836364092
1750	978.43487758922
2000	985.0845558669612
