loop_bandwidth_limit	mean_goodput
250	219.85595329413334
500	421.26480110291874
750	603.3460697167828
1000	763.1213213631096
1250	926.478373216797
1500	964.5571464425713
1750	1125.7915976900722
2000	1110.2620571505247
