loop_bandwidth_limit	mean_goodput
250	224.81153975537327
500	441.35539777240507
750	649.5839308178188
1000	841.8403463811323
1250	1019.6076311176199
1500	1184.1956065932993
1750	1205.8229063501005
2000	1234.3944287124075
